arm,rho,delta,seed,n,learned_mcc,learned_mcc_spearman,learned_cca,learned_mcc_band,n_band,oracle_sigma,oracle_mcc,oracle_mcc_spearman,oracle_cca,gap_mcc,gap_mcc_spearman,kl_total,kl_min,active_units,recon_nats,posterior_collapse,deterministic_ae
conditional,0.4,0.0,13,2000,0.9870933437351436,0.9911965375491308,0.9908772657516748,0.9850435590719642,1591,0.135498046875,0.9908939170814745,0.9905635891408936,0.9908973389474648,0.0038005733463307,-0.0006329484082371,6.2708516120910645,3.11124324798584,2,1364.61474609375,False,False
conditional,0.4,0.0,14,2000,0.9850402954416946,0.9885431898857936,0.9909685213467256,0.962426399296685,1653,0.135986328125,0.990960185184483,0.9906467536616848,0.9909567423456614,0.0059198897427884,0.002103563775891,6.262312889099121,3.114089250564575,2,1364.1280517578125,False,False
conditional,0.4,0.0,15,2000,0.9120663731935372,0.9172316540579102,0.9919470455219304,0.828728307277856,1650,0.127685546875,0.9919499788859368,0.9917571356892804,0.9919494562184288,0.0798836056923996,0.0745254816313703,6.306438446044922,3.152719020843506,2,1368.4315185546875,False,False
conditional,0.4,0.0,16,2000,0.9903605733814184,0.9935602253900526,0.992059053223062,0.979906884158343,1631,0.127197265625,0.992046252746406,0.991922089980519,0.9920449110658848,0.0016856793649876,-0.0016381354095336,6.323474884033203,3.145481824874878,2,1370.515625,False,False
conditional,0.4,0.0,17,2000,0.8798781428588798,0.8806089581522363,0.993298206077622,0.7898991940265774,1541,0.118896484375,0.9933199322830686,0.9930219720054893,0.9933204984037016,0.1134417894241888,0.1124130138532528,6.236371040344238,3.080374002456665,2,1360.1541748046875,False,False
conditional,0.4,0.0,18,2000,0.9269695088684418,0.9297166851791678,0.9856248343447828,0.8400567851401681,1636,0.173095703125,0.9856885021857512,0.9855527591381864,0.9856543449632836,0.0587189933173093,0.0558360739590184,6.360703945159912,3.132443428039551,2,1363.229248046875,False,False
conditional,0.4,0.0,19,2000,0.9869448510770078,0.9908894612223615,0.9907501778871148,0.9642275466918973,1590,0.138427734375,0.9907752347335752,0.9905180206295016,0.9907730304499912,0.0038303836565674,-0.00037144059286,6.29434871673584,3.103865623474121,2,1363.916015625,False,False
conditional,0.4,0.0,20,2000,0.8247772935040185,0.8229139434784829,0.9916148066368774,0.7010511776950836,1605,0.128662109375,0.991644091171626,0.9913625538406348,0.9916280095957788,0.1668667976676073,0.1684486103621518,6.271889686584473,3.091322183609009,2,1359.9356689453125,False,False
conditional,0.4,0.0,21,2000,0.7038770140076589,0.6858944592236123,0.9936931207288486,0.6215704573696097,1602,0.114990234375,0.9937105170808008,0.993406562351637,0.9937122004623992,0.289833503073142,0.3075121031280248,6.3314971923828125,3.156155586242676,2,1366.8070068359375,False,False
conditional,0.4,0.0,22,2000,0.7724909828552688,0.7668014217003527,0.9888074419181162,0.6867380311984619,1573,0.151123046875,0.9888580282636192,0.988133989783494,0.988841776078236,0.2163670454083504,0.2213325680831412,6.286307334899902,3.129980087280273,2,1366.3734130859375,False,False
