arm,theta,rho,seed,cca_s,mcc_s,gap_s,cca_ab,mcc_ab,gap_ab
mix_1000,0.7853981633974483,0.2,1,0.4961163300092305,0.4994231924063823,-0.0033068623971517,0.4961163307186322,0.4733210260225231,0.0227953046961091
mix_1000,0.7853981633974483,0.05,0,0.5014503040641617,0.6472110846974866,-0.1457607806333248,0.5014503041321349,0.4628735836848791,0.0385767204472558
mix_1000,0.7853981633974483,0.05,1,0.636761678302283,0.419983818359571,0.216777859942712,0.6367616774937277,0.6373755322084087,-0.000613854714681
faithful,0.0,1.0,4,0.9932154741207831,0.9902836637131064,0.0029318104076767,0.9932154741207831,0.9902836637131064,0.0029318104076767
faithful,0.0,1.0,5,0.9946126876867531,0.8434272891470425,0.1511853985397107,0.9946126876867531,0.8434272891470425,0.1511853985397107
faithful,0.0,0.6,4,0.9943273598761398,0.9902538669007844,0.0040734929753553,0.9943273598761398,0.9902538669007844,0.0040734929753553
faithful,0.0,0.6,5,0.9920312348366056,0.9696992163462552,0.0223320184903503,0.9920312348366056,0.9696992163462552,0.0223320184903503
faithful,0.0,0.2,4,0.9933470506460992,0.8724856826687577,0.1208613679773413,0.9933470506460992,0.8724856826687577,0.1208613679773413
faithful,0.0,0.2,5,0.9920818642163356,0.9909984284455122,0.0010834357708232,0.9920818642163356,0.9909984284455122,0.0010834357708232
faithful,0.0,0.05,4,0.9932616775847064,0.8301288392370183,0.163132838347688,0.9932616775847064,0.8301288392370183,0.163132838347688
faithful,0.0,0.05,5,0.9907142174609628,0.961770640149508,0.0289435773114545,0.9907142174609628,0.961770640149508,0.0289435773114545
faithful,0.7853981633974483,1.0,4,0.9939576298823816,0.97401616876871,0.0199414611136716,0.9939573246889964,0.8282776859995455,0.1656796386894508
faithful,0.7853981633974483,1.0,5,0.9929578252924728,0.7269201403294702,0.2660376849630027,0.9929583377473404,0.9920215819233236,0.0009367558240167
faithful,0.7853981633974483,0.6,4,0.9926682397268564,0.9739297708281972,0.0187384688986593,0.9926682396207568,0.8234129601075513,0.1692552795132054
faithful,0.7853981633974483,0.6,5,0.9915801360994864,0.8745492446399121,0.1170308914595741,0.9915801361694834,0.9487189041420472,0.0428612320274363
faithful,0.7853981633974483,0.2,4,0.9901214800781708,0.9517720563234656,0.038349423754705,0.9901210188655098,0.8644367928331977,0.1256842260323121
faithful,0.7853981633974483,0.2,5,0.9884834480795022,0.975764212938076,0.012719235141426,0.988482859720899,0.8015067252562351,0.1869761344646638
faithful,0.7853981633974483,0.05,4,0.9886789835762396,0.9789883577481509,0.0096906258280888,0.9886787004215524,0.7871831204565196,0.2014955799650326
faithful,0.7853981633974483,0.05,5,0.9883631471009712,0.9841616350985184,0.0042015120024525,0.9883629290551836,0.7582373435351191,0.2301255855200646
mix_1000,0.0,1.0,4,0.9916582859066988,0.8901135932300859,0.101544692676613,0.9916582859066988,0.8901135932300859,0.101544692676613
