rho,adv_lambda,seed,overlap,bio_recovery,bio_recovery_shared,batch_removed,source_leakage,ilisi,off_manifold_latent
0.25,30.0,0,0.25,0.9985671043395996,0.9314191937446594,0.23199999999999998,0.884,0.23173605451603962,21.290519776085485
0.25,100.0,0,0.25,0.9928498268127441,0.6627087593078613,0.22133333333333338,0.8893333333333333,0.23218975454964919,15.660658496801412
0.25,0.0,1,0.25,0.9991461038589478,0.964462399482727,0.2293333333333334,0.8853333333333333,0.23247764064426124,21.89637817501488
0.25,0.3,1,0.25,0.9991425275802612,0.9639539122581482,0.23833333333333329,0.8808333333333334,0.23365998869152182,21.720469041090976
0.25,1.0,1,0.25,0.9991258978843689,0.9651147127151489,0.23466666666666658,0.8826666666666667,0.2336943702997809,21.35170903099517
0.25,3.0,1,0.25,0.9990652203559875,0.9608872532844543,0.20966666666666667,0.8951666666666667,0.22801148459731357,19.566545483340313
0.25,10.0,1,0.25,0.9989148378372192,0.9495351910591125,0.24299999999999988,0.8785000000000001,0.2468388032590667,15.161034489722146
0.25,30.0,1,0.25,0.9985041618347168,0.9218923449516296,0.2293333333333334,0.8853333333333333,0.22754691658921544,17.000878037991747
0.25,100.0,1,0.25,0.9981732964515686,0.943265974521637,0.16733333333333333,0.9163333333333333,0.19136628815925905,19.95911416914714
0.25,0.0,2,0.25,0.9991047978401184,0.9608706831932068,0.254,0.873,0.2459125974669183,16.819958017689714
0.25,0.3,2,0.25,0.9991074204444885,0.9606610536575317,0.2556666666666667,0.8721666666666666,0.24770984832900345,15.928473660857941
0.25,1.0,2,0.25,0.9991018176078796,0.9606823921203613,0.2596666666666667,0.8701666666666666,0.25040180981547056,14.997716543035471
0.25,3.0,2,0.25,0.99906325340271,0.958214282989502,0.24833333333333352,0.8758333333333332,0.2453146908909558,14.873325565302109
0.25,10.0,2,0.25,0.9987784624099731,0.9423844218254089,0.2633333333333332,0.8683333333333334,0.257019924707816,14.672201122457263
0.25,30.0,2,0.25,0.9976992011070251,0.9242532849311829,0.2450000000000001,0.8775,0.2540751952932465,19.399926022566124
0.25,100.0,2,0.25,0.9984548091888428,0.9108009338378906,0.2536666666666667,0.8731666666666666,0.25032403101163836,28.528380455104863
0.35,0.0,0,0.35,0.9991068840026855,0.9846011400222778,0.351,0.8245,0.33576716458179967,11.692819288041605
0.35,0.3,0,0.35,0.9990965723991394,0.9845828413963318,0.34766666666666657,0.8261666666666667,0.33705614193250155,11.441722277677929
0.35,1.0,0,0.35,0.9990816116333008,0.9846609830856323,0.34833333333333316,0.8258333333333334,0.3364397793118292,12.394035458434026
0.35,3.0,0,0.35,0.999064028263092,0.9841743111610413,0.3443333333333334,0.8278333333333333,0.3355426216853017,11.466227217540428
0.35,10.0,0,0.35,0.9989630579948425,0.9812722206115723,0.3416666666666668,0.8291666666666666,0.33820329605000454,8.734343970384387
0.35,30.0,0,0.35,0.9979885220527649,0.9541137218475342,0.30933333333333346,0.8453333333333333,0.31439897907300574,20.13594388346695
0.35,100.0,0,0.35,0.9934380054473877,0.8795947432518005,0.30166666666666675,0.8491666666666666,0.30466311334282525,22.108732389282377
0.35,0.0,1,0.35,0.9991210103034973,0.9826608300209045,0.33699999999999997,0.8315,0.32515235178471946,16.70294023203147
0.35,0.3,1,0.35,0.999099612236023,0.9816602468490601,0.33999999999999986,0.8300000000000001,0.3261712644620891,14.780787923357229
0.35,1.0,1,0.35,0.9991045594215393,0.9827828407287598,0.3606666666666667,0.8196666666666667,0.32916549535685347,14.498595838705407
0.35,3.0,1,0.35,0.9990448355674744,0.982398271560669,0.3440000000000001,0.828,0.3273878968930304,12.349416163186202
0.35,10.0,1,0.35,0.9987749457359314,0.976169764995575,0.30699999999999994,0.8465,0.31652562562087083,12.052821428876811
0.35,30.0,1,0.35,0.998096227645874,0.959152102470398,0.2536666666666667,0.8731666666666666,0.2759718449311359,11.140239390060875
0.35,100.0,1,0.35,0.9978649616241455,0.9486165046691895,0.3373333333333335,0.8313333333333333,0.3268079703141147,13.188681364561075
