s_level,sigma_min,kappa,seed,cca,mcc,gap,phi_deg
1.0,1.3677633378407847,2.565809853140707,8,0.973047307843646,0.9726921554286152,0.0003551524150309,1.527066220996708
1.0,1.3677633378407847,2.565809853140707,9,0.9754152403996011,0.9700364454887482,0.005378794910853,5.945316512316344
0.02,0.0442057870450212,67.09134173974438,10,0.9851466210118784,0.9817147511012344,0.0034318699106439,4.748181597337638
0.02,0.0442057870450212,67.09134173974438,11,0.9820213182320948,0.7293142922727418,0.2527070259593531,41.64357209293114
0.02,0.0442057870450212,67.09134173974438,12,0.9807636350350956,0.7812172454921263,0.1995463895429693,36.82655917971485
0.02,0.0442057870450212,67.09134173974438,13,0.9746153282234054,0.9666389511802802,0.0079763770431251,7.241517181832402
0.02,0.0442057870450212,67.09134173974438,14,0.9852559242603302,0.912651854610936,0.0726040696493942,21.96754041892151
0.1,0.1784835807805932,16.55518002435947,10,0.98579183044511,0.9854638344503917,0.0003279959947182,1.4675191316348282
0.1,0.1784835807805932,16.55518002435947,11,0.982915969148755,0.7686589597582724,0.2142570093904826,38.21055188256412
0.1,0.1784835807805932,16.55518002435947,12,0.9819755218481944,0.7620021004902731,0.2199734213579212,38.7369910181445
0.1,0.1784835807805932,16.55518002435947,13,0.976967771380088,0.9759954362331128,0.000972335146975,2.526857894440904
0.1,0.1784835807805932,16.55518002435947,14,0.9839308455513832,0.8149035233907649,0.1690273221606183,33.801214442003044
0.3,0.601377003773506,4.795719528241674,10,0.9845409151669314,0.9801521632899016,0.0043887518770296,5.369911231152585
0.3,0.601377003773506,4.795719528241674,11,0.9823309880141984,0.7879689302287642,0.1943620577854341,36.328090100652354
0.3,0.601377003773506,4.795719528241674,12,0.9781944561346548,0.9779193785677462,0.0002750775669085,1.3439254345489902
0.3,0.601377003773506,4.795719528241674,13,0.9731818382969232,0.9617393409382862,0.011442497358637,8.675869881177565
0.3,0.601377003773506,4.795719528241674,14,0.9820125473027528,0.8359211435508676,0.1460914037518853,31.360630444205047
0.6,1.140702118459645,2.4834561802951858,10,0.9776289557230132,0.939468108011839,0.0381608477111741,15.879524343533628
0.6,1.140702118459645,2.4834561802951858,11,0.9772810277664352,0.8909675581433218,0.0863134696231132,23.98011975714675
0.6,1.140702118459645,2.4834561802951858,12,0.9697040297020674,0.9526297546229128,0.0170742750791546,10.6029972632749
0.6,1.140702118459645,2.4834561802951858,13,0.9706116349482,0.965283475529695,0.0053281594185049,5.917240984339912
0.6,1.140702118459645,2.4834561802951858,14,0.9789952517201972,0.9171771577546424,0.0618180939655548,20.251560954093502
1.0,1.3677633378407847,2.565809853140707,10,0.9795815468467638,0.962339259160928,0.0172422876858359,10.655186972768975
1.0,1.3677633378407847,2.565809853140707,11,0.9731360098871742,0.8123315862241434,0.1608044236630308,32.9447282945747
1.0,1.3677633378407847,2.565809853140707,12,0.9532799510420084,0.8947511853697281,0.0585287656722803,19.69988280330165
1.0,1.3677633378407847,2.565809853140707,13,0.9682558373465376,0.9605049012689252,0.0077509360776122,7.138313593862833
1.0,1.3677633378407847,2.565809853140707,14,0.9748365882005124,0.8776455239803914,0.0971910642201209,25.470218492157684
