arm,rho,seed,cca,mcc,gap,batch_removed
adv_100,0.2,8,0.8351980060295845,0.5709475074468381,0.2638992042226805,0.2113333333333331
adv_100,0.2,9,0.982092708587376,0.9806163286800488,0.001383795836312,0.2073333333333333
adv_100,0.2,10,0.9892387755340886,0.9656232619047032,0.0237517503614205,0.2013333333333333
adv_100,0.2,11,0.9659355674685556,0.8485329775043373,0.1174989376228483,0.1686666666666667
adv_100,0.2,12,0.9864753610294216,0.986437630217362,-1.5158116501989838e-06,0.2179999999999999
adv_100,0.2,13,0.9737009938766806,0.972267819114424,0.001252720329085,0.2013333333333333
adv_100,0.2,14,0.9736835769774116,0.8676130695562438,0.1059465195079065,0.2113333333333333
adv_100,0.2,15,0.9698074890392068,0.9360639129511892,0.0339293716071885,0.2126666666666667
adv_100,0.2,16,0.9776480185236396,0.8451065763401855,0.1326137567863826,0.2139999999999999
adv_100,0.2,17,0.9882704856819612,0.8716721630236242,0.1165809008998062,0.1926666666666667
adv_100,0.2,18,0.9809127229195118,0.6782609529275124,0.3025432590045499,0.2059999999999999
adv_100,0.2,19,0.9516134907244822,0.9356941555046034,0.0158363682911196,0.2306666666666665
adv_100,0.2,20,0.9487864828656638,0.6771278072116103,0.2718066539770583,0.1946666666666665
adv_100,0.2,21,0.8565043417879268,0.8074826664755869,0.0491294031795881,0.2386666666666665
adv_100,0.2,22,0.727701515534183,0.7182584453471249,0.0096850154113186,0.2226666666666665
adv_100,0.2,23,0.97894423698725,0.9736821727427594,0.0052180629087443,0.1699999999999999
adv_100,0.2,24,0.9149218843020366,0.8772748762211326,0.0379793965243828,0.1973333333333333
adv_100,0.4,0,0.8284172823126286,0.8170505497476347,0.0116143837189831,0.4193333333333333
adv_100,0.4,1,0.8317899305747632,0.798298136801461,0.0340379185354852,0.4293333333333333
adv_100,0.4,2,0.9899984851006014,0.7422767082650552,0.2477635352921732,0.4359999999999999
adv_100,0.4,3,0.9816774246297956,0.9808856379570006,0.0008174027026235,0.4146666666666667
adv_100,0.4,4,0.9885870344338904,0.9715933344837632,0.0168831874123627,0.4279999999999999
adv_100,0.4,5,0.982324397861051,0.966790769890445,0.015363732498311,0.3740000000000001
adv_100,0.4,6,0.979701455217323,0.6992202444263448,0.2805398694599862,0.4126666666666667
adv_100,0.4,7,0.988601788081416,0.8509137522346488,0.1377208050477607,0.4066666666666667
adv_100,0.4,8,0.9012704065560408,0.810026122663696,0.0914995772000044,0.4146666666666667
adv_100,0.4,9,0.9638625700263884,0.91801256659883,0.0457679359452118,0.4100000000000001
adv_100,0.4,10,0.9770321745961836,0.8506770918571496,0.1264994486969041,0.4133333333333333
adv_100,0.4,11,0.7630949750349703,0.6411643774656124,0.1223907919901798,0.4406666666666667
adv_100,0.4,12,0.9450773787059684,0.9400207828107376,0.0053491510252323,0.4346666666666667
adv_100,0.4,13,0.9174407694405278,0.8944345692329756,0.0228719962592615,0.4413333333333333
adv_100,0.4,14,0.9610437320786648,0.7309654675880988,0.2301237376114502,0.4253333333333333
adv_100,0.4,15,0.965946036488464,0.6756759955664078,0.2902849158863483,0.4233333333333333
adv_100,0.4,16,0.9825116582573832,0.8795549953883268,0.1028144058090296,0.4306666666666667
adv_100,0.4,17,0.9816249984387838,0.970845765346515,0.0107973496302193,0.4180000000000001
adv_100,0.4,18,0.8281260257994059,0.6750136288898259,0.1531129622282483,0.4226666666666667
adv_100,0.4,19,0.9280691378424544,0.9153171341728616,0.0128840878871054,0.4113333333333333
adv_100,0.4,20,0.8159315974005827,0.8129444248623009,0.0024014196253612,0.3719999999999999
adv_100,0.4,21,0.873576085286546,0.780238988235036,0.0935398914006391,0.4426666666666667
adv_100,0.4,22,0.9689141593968352,0.951960108702212,0.0170381861411768,0.4180000000000001
adv_100,0.4,23,0.840697751993176,0.828409278149254,0.0127239774472397,0.4039999999999999
adv_100,0.4,24,0.9842796766171236,0.980270256835528,0.0041019047986046,0.3946666666666667
adv_100,0.6,0,0.8348266135292528,0.8297878162098766,0.0047242451412368,0.6393333333333333
adv_100,0.6,1,0.9620245715672924,0.9595883876253852,0.0027609704918115,0.6680000000000001
adv_100,0.6,2,0.9576689000822444,0.86330355281493,0.094142511865384,0.6506666666666665
adv_100,0.6,3,0.9751487960718408,0.972821445330274,0.0023589500852433,0.5866666666666667
adv_100,0.6,4,0.7610809702995471,0.6822867760885025,0.0787849448448183,0.6179999999999999
adv_100,0.6,5,0.8509758340231024,0.8501900289993787,0.0010917299908361,0.6019999999999999
adv_100,0.6,6,0.8124849729443735,0.6448840093723627,0.1675595036313,0.6499999999999999
adv_100,0.6,7,0.9764261307211176,0.914509201743505,0.0619664260664079,0.6013333333333333
adv_100,0.6,8,0.7595147910970872,0.754562651018776,0.0049254586875536,0.6353333333333335
adv_100,0.6,9,0.9647886289916938,0.7285417096238549,0.2363810352968223,0.5899999999999999
adv_100,0.6,10,0.9504359907488756,0.936683811917176,0.0138952796629823,0.6546666666666665
adv_100,0.6,11,0.8733291072666235,0.8697444570639749,0.003742268729583,0.6166666666666667
adv_100,0.6,12,0.9602084284340028,0.8942388796345754,0.0662272298762247,0.6393333333333335
adv_100,0.6,13,0.846997677504753,0.6378403410738729,0.2094852369588904,0.6320000000000001
adv_100,0.6,14,0.9205596179107614,0.7073605870113702,0.213459007404241,0.6586666666666667
adv_100,0.6,15,0.9770944556211014,0.7707166102316529,0.2062939483575195,0.6413333333333333
adv_100,0.6,16,0.8284491469518229,0.8145268701213367,0.0146512721733138,0.6633333333333333
adv_100,0.6,17,0.975704578114706,0.9700836518847128,0.0056255614327415,0.5800000000000001
adv_100,0.6,18,0.90592151387919,0.7281451049718577,0.1778145921381582,0.6466666666666667
adv_100,0.6,19,0.9840979343005668,0.6917038494951696,0.2924677217610004,0.6346666666666667
adv_100,0.6,20,0.9792806839131248,0.7302358835520295,0.2490793917240743,0.5633333333333335
adv_100,0.6,21,0.922213878377632,0.8627899659235517,0.0597725343128533,0.6526666666666667
adv_100,0.6,22,0.9218023496389288,0.922282337708977,-0.0007616357430515,0.6046666666666667
adv_100,0.6,23,0.944039168206117,0.8317994333430649,0.1126288499283026,0.6519999999999999
adv_100,0.6,24,0.9869310652638684,0.9839882990505942,0.0029065015362249,0.5993333333333333
