2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs macrophage -> inconclusive_underpowered (N*=17, cross=0.9056, floor_q=0.2923)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.6125, floor_q=0.5653)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.6098, floor_q=0.4588)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.4563, floor_q=0.2686)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.2719, floor_q=0.08978)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs erythroblast -> inconclusive_underpowered (N*=1856, cross=0.6339, floor_q=0.03619)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs erythrocyte -> inconclusive_underpowered (N*=2, cross=0.6726, floor_q=0.6551)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs fibroblast -> inconclusive_underpowered (N*=1967, cross=0.7329, floor_q=0.02747)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.6683, floor_q=0.8113)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.5255, floor_q=0.3413)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.4428, floor_q=0.2767)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.4902, floor_q=0.0985)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs macrophage -> inconclusive_underpowered (N*=17, cross=0.9634, floor_q=0.2585)
2026-06-17 14:01:41,222 | INFO |   epithelial cell of lower respiratory tract vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.5965, floor_q=0.4655)
2026-06-17 14:01:41,223 | INFO |   epithelial cell of lower respiratory tract vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.6626, floor_q=0.4179)
2026-06-17 14:01:41,223 | INFO |   epithelial cell of lower respiratory tract vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.5061, floor_q=0.2115)
2026-06-17 14:01:41,223 | INFO |   epithelial cell of lower respiratory tract vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.4496, floor_q=0.05175)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs erythrocyte -> inconclusive_underpowered (N*=2, cross=0.831, floor_q=0.609)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs fibroblast -> inconclusive_underpowered (N*=1856, cross=0.9955, floor_q=0.02823)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.8755, floor_q=0.775)
